QUESTION_ID,TOPIC,SUBTOPIC,MOCK_APPEARANCE,BLUEBOOK_APPEARANEC,QUESTION_PROMPT
c3a72da5,ADV_MATH,Equivalent Expressions,901D Upper,,Which of the following is equivalent to the sum of and ?
c3b116d7,ADV_MATH,Equivalent Expressions,,,Which of the following expressions is(are) a factor of ?
c3d65f93,PSDA,Data 1 Variable,,BB5 MEDIUM,"Five Eretmochelys imbricata, a type of sea turtle, each have a nest. The table shows an original data set of the number of eggs that each turtle laid in its nest. Nest Number of eggs A B C D E A sixth nest with eggs is added to create a new data set. Which of the following correctly compares the means of the two data sets?"
c3d78831,PSDA,Rates & Proportions,,,"At a particular track meet, the ratio of coaches to athletes is to . If there are coaches at the track meet, which of the following expressions represents the number of athletes at the track meet?"
c41e5688,ALGEBRA,Linear Inequalities,,BB5 MEDIUM,The shaded region shown represents the solutions to which inequality?
c4259674,ADV_MATH,Nonlinear Functions,,,The function is defined by . What is the value of ?
c4cd5bcc,ADV_MATH,Nonlinear Functions,,,"In the xy-plane, the y-coordinate of the y-intercept of the graph of the function f is c. Which of the following must be equal to c ?"
c4d49134,ALGEBRA,Linear Functions,1000D Lower,BB10 MEDIUM,"The equation gives the speed , in miles per hour, of a certain car seconds after it began to accelerate. What is the speed, in miles per hour, of the car seconds after it began to accelerate?"
c4ea43ef,ALGEBRA,Linear Equations 2 Variables,1000D Medium,,"To earn money for college, Avery works two part-time jobs: A and B. She earns $10 per hour working at job A and $20 per hour working at job B. In one week, Avery earned a total of s dollars for working at the two part-time jobs. The graph above represents all possible combinations of numbers of hours Avery could have worked at the two jobs to earn s dollars. What is the value of s ?"
c5082ce3,ALGEBRA,Systems of Linear Equations,901D Medium,,"The score on a trivia game is obtained by subtracting the number of incorrect answers from twice the number of correct answers. If a player answered 40Ã‚ questions and obtained a score of 50, how many questions did the player answer correctly?"
c50ede6d,ALGEBRA,Linear Inequalities,,BB8 LOWER,"The total cost, in dollars, to rent a surfboard consists of a service fee and a per hour rental fee. A person rents a surfboard for hours and intends to spend a maximum of to rent the surfboard. Which inequality represents this situation?"
c5479c1a,ALGEBRA,Linear Equations 2 Variables,,,A shipment consists of -pound boxes and -pound boxes with a total weight of pounds. There are -pound boxes in the shipment. How many -pound boxes are in the shipment?
c54b92a2,PSDA,Data 1 Variable,901D Lower,,A study was conducted on the production rates for a company that produces tractor wheels. The table below shows the number of wheels made during 11 consecutive one-hour production periods. One- hour period Number of wheels made A 24 B 24 C 21 D 21 E 21 F 19 G 24 H 24 I 19 J 22 K 23 What is the range of the number of wheels made for the 11Ã‚ one-hour periods?
c5ee6ac0,PSDA,Data 2 Variable,,BB10 MEDIUM,"The scatterplot shows the relationship between two variables, and . A line of best fit is also shown. Which of the following equations best represents the line of best fit shown?"
c602140f,ADV_MATH,Equivalent Expressions,,,Which of the following is equivalent to the expression above?
c651cc56,ALGEBRA,Linear Functions,,,Some values of the linear function f are shown in the table above. What is the value of ?
c6a26e14,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",,,What is the positive solution to the given equation?
c6b151d4,ALGEBRA,Linear Equations 2 Variables,,,"A total of paper straws of equal length were used to construct two types of polygons: triangles and rectangles. The triangles and rectangles were constructed so that no two polygons had a common side. The equation represents this situation, where is the number of triangles constructed and is the number of rectangles constructed. What is the best interpretation of in this context?"
c6dff223,GEOM_TRIG,Right Angle Trigonometry,903D Upper,,"TriangleÃ‚ is similar to triangleÃ‚ , where angle corresponds to angle and angles and are right angles. The length ofÃ‚ is times the length ofÃ‚ . IfÃ‚ , what is the value ofÃ‚ ?"
c6e85cd7,ADV_MATH,Equivalent Expressions,,,"If , what is the value of ?"
c7789423,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",,,What is one possible solution to the given equation?
c77ef2fb,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",902D Medium,,"Blood volume, , in a human can be determined using the equation , where is the plasma volume and H is the hematocrit (the fraction of blood volume that is red blood cells). Which of the following correctly expresses the hematocrit in terms of the blood volume and the plasma volume?"
c7a187a7,ADV_MATH,Nonlinear Functions,,,"If the given function is graphed in the xy-plane, where , what is an x-intercept of the graph?"
c7bed21d,GEOM_TRIG,"Lines, Angles, Triangles",903D Upper,,"Quadrilateral is similar to quadrilateral , where , , , and correspond to , , , and , respectively. The measure of angle is , the measure of angle is , and the measure of angle is . The length of each side of is times the length of each corresponding side of . What is the measure of angle ?"
c7c6445f,PSDA,Rates & Proportions,,BB10 UPPER,"A certain town has an area of square miles. What is the area, in square yards, of this town?"
c7d7980e,ALGEBRA,Linear Equations 1 Variable,,,What value of is the solution to the given equation?
c7e73ece,PSDA,Sample Size & ME,,,"Views on Nuclear Energy Use Response Frequency Strongly favor 56 Somewhat favor 214 Somewhat oppose 104 Strongly oppose 37 A researcher interviewed 411 randomly selected US residents and asked about their views on the use of nuclear energy. The table above summarizes the responses of the interviewees. If the population of the United States was 300 million when the survey was given, based on the sample data for the 411 US residents, what is the best estimate, inÃ‚ millions, of the difference between the number of US residents who somewhat favor or strongly favor the use of nuclear energy and the number of those who somewhat oppose or strongly oppose it? (Round your answer to the nearest whole number.)"
c81b6c57,ADV_MATH,Equivalent Expressions,903D Upper,,"In the expressionÃ‚ , p is a constant. This expression is equivalent to the expression . What is the value of pÃ‚ ?"
c8345903,GEOM_TRIG,Circles,,,"The circle above has center O, the length of arc is , and . What is the length of arc ?"
c841e8e8,ALGEBRA,Linear Equations 1 Variable,,BB9 LOWER,What is the solution to the given equation?
c88183f7,GEOM_TRIG,Area & Volume,,,A rectangle has a length of and a width of . What is the perimeter of the rectangle?
c88e0663,PSDA,Data 1 Variable,,,"For a school fund-raiser, 10 students sold a total of 90 boxes of cookies. Which of the following can be calculated from this information?"
c8bf5313,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",,,The graphs of the equations in the given system of equations intersect at the point in the xy-plane. What is the value of ?
c8d60e48,GEOM_TRIG,"Lines, Angles, Triangles",,,"In the given triangle, and has a measure of . What is the value of x ?"
c8e0f511,ALGEBRA,Linear Equations 2 Variables,,,"For a camping trip a group bought one-liter bottles of water and three-liter bottles of water, for a total of liters of water. Which equation represents this situation?"
c8fb6bcb,ALGEBRA,Linear Functions,901D Medium,,"The given function represents the perimeter, in , of a rectangle with a length of and a fixed width. What is the width, in , of the rectangle?"
c9355dec,ALGEBRA,Linear Inequalities,,,The shaded region shown represents the solutions to which inequality?
c9417793,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",,BB5 MEDIUM,What is the sum of the solutions to the given equation?
c943acba,PSDA,Probability,,,"On a street with houses, houses are blue. If a house from this street is selected at random, what is the probability of selecting a house that is blue?"
c9931030,GEOM_TRIG,Right Angle Trigonometry,,,"The side lengths of right triangle are given. Triangle is similar to triangle , where corresponds to and corresponds to . What is the value of ?"
c99d154a,ADV_MATH,Nonlinear Functions,,BB6 LOWER,What is the y-coordinate of the y-intercept of the graph shown?
c9dd92b1,PSDA,Data 2 Variable,903D Upper,,"The densities of different concentrations of grape juice are shown in the scatterplot above. According to the trend shown by the data, which of the following is closest to the predicted density, in kilograms per cubic meter (kg/m ), for grape juice with a concentration of 60%?"
c9f8d1e9,GEOM_TRIG,Right Angle Trigonometry,,BB10 LOWER,"For the right triangle shown, and . Which expression represents the value of ?"
c9fb15ad,PSDA,Rates & Proportions,,,"Species of tree Growth factor Red maple 4.5 River birch 3.5 Cottonwood 2.0 Black walnut 4.5 White birch 5.0 American elm 4.0 Pin oak 3.0 Shagbark hickory 7.5 One method of calculating the approximate age, in years, of a tree of a particular species is to multiply the diameter of the tree, in inches, by a constant called the growth factor for that species. The table above gives the growth factors for eight species of trees. If a white birch tree and a pin oak tree each now have a diameter of 1Ã‚ foot, which of the following will be closest to the difference, in inches, of their diameters 10 years from now? (1 footÃ‚ =Ã‚ 12 inches)"
ca2235f6,GEOM_TRIG,Circles,903D Upper,,"A circle has center , and points and lie on the circle. The measure of arc is and the length of arc is inches. What is the circumference, in inches, of the circle?"
ca452900,ALGEBRA,Linear Equations 2 Variables,,,What is the slope of the graph of in the xy-plane?
ca4ee54e,ADV_MATH,Nonlinear Functions,,,"The graph shows the predicted value , in dollars, of a certain sport utility vehicle years after it is first purchased. Which of the following is closest to the predicted value of the sport utility vehicle years after it is first purchased?"
ca9bb527,ALGEBRA,Systems of Linear Equations,,,What is the solution Ã‚ to the given system of equations?
cb4894f9,PSDA,Rates & Proportions,903D Upper,,"A triathlon is a multisport race consisting of three different legs. A triathlon participant completed the cycling leg with an average speed ofÃ‚ miles per hour. What was the average speed, in yards per hour, of the participantÃ‚ during the cycling leg?"
cb58833c,ALGEBRA,Linear Equations 2 Variables,902D Medium,,The line with the equation is graphed in the xyÃ¢â‚¬â€˜plane. What is the x-coordinate of the xÃ¢â‚¬â€˜intercept of the line?
cb8f449f,ALGEBRA,Systems of Linear Equations,1000D Medium,,"The system of equations above has solution (x, y). What is the value of x ?"
cbe8ca31,GEOM_TRIG,"Lines, Angles, Triangles",,,"In , the measure of is and the measure of is . What is the measure of ?"
cc2601cb,ADV_MATH,Nonlinear Functions,,,The x-intercept of the graph shown isÃ‚ . What is the value of ?
cc3e9528,ALGEBRA,Linear Equations 2 Variables,,,The graph of is translated down units in the xy-plane. What is the x-coordinate of the x-intercept of the resulting graph?
cc6ccd71,ADV_MATH,Nonlinear Functions,,BB10 MEDIUM,"The graph ofÃ‚ is shown, where the function is defined by and , , , and are constants. For how many values of does ?"
cc776a04,ADV_MATH,Equivalent Expressions,,,Which of the following is an equivalent form of ?
cc7ffe02,ALGEBRA,Linear Equations 2 Variables,,BB9 UPPER,Keenan made cups of vegetable broth. Keenan then filled small jars and large jars with all the vegetable broth he made. The equationÃ‚ represents this situation. Which is the best interpretation of in this context?
cd33b015,ALGEBRA,Systems of Linear Equations,,,"If is the solution to the given system of equations, what is the value of y ?"
cd358b89,ADV_MATH,Nonlinear Functions,,,"Function is defined byÃ‚ . Function is defined byÃ‚ . The graph ofÃ‚ in the xy-plane has x-intercepts atÃ‚ ,Ã‚ , andÃ‚ , where , , and are distinct constants. What is the value of ?"
cdec4c87,ALGEBRA,Systems of Linear Equations,,,What is the solutionÃ‚ to the given system of equations?
ce314070,ALGEBRA,Linear Equations 1 Variable,,,"If , what is the value of ?"
ce508fb0,ADV_MATH,Nonlinear Functions,,,"The functions and are defined by the given equations. IfÃ‚ , where is a constant, what is the value ofÃ‚ ?"
ce579859,ADV_MATH,Nonlinear Functions,,,"A model estimates that at the end of each year fromÃ‚ to , the number of squirrels in a population was more than the number of squirrels in the population at the end of the previous year. The model estimates that at the end of , there were squirrels in the population. Which of the following equations represents this model, where is the estimated number of squirrels in the population years after the end of and ?"
ce6b52d8,ALGEBRA,Linear Equations 1 Variable,,,"If , what is the value of ?"
ce940f80,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",901D Lower,,What is a solution to the given equation?
cecbdeba,GEOM_TRIG,Area & Volume,,,"A right circular cylinder has a volume of cubic centimeters. The area of the base of the cylinder is square centimeters. What is the height, in centimeters, of the cylinder?"
cee5b352,ALGEBRA,Linear Functions,903D Upper,,"The length, , of a white whale was when it was born and increased an average of per month for the first months after it was born. Which equation best represents this situation, where is the number of months after the whale was born and is the length, in , of the whale?"
cf0ae57a,PSDA,Data 2 Variable,902D Upper,,"The scatterplot above shows the densities of 7 planetoids, in grams per cubic centimeter, with respect to their average distances from the Sun in astronomical units (AU). The line of best fit is also shown. An astronomer has discovered a new planetoid about 1.2 AU from the Sun. According to the line of best fit, which of the following best approximates the density of the planetoid, in grams per cubic centimeter?"
cf0d3050,GEOM_TRIG,"Lines, Angles, Triangles",,BB8 LOWER,"In the figure shown, line intersects parallel lines and . What is the value of ?"
cf53cb56,GEOM_TRIG,Area & Volume,,,"In the xy-plane shown, square ABCD has its diagonals on the x- and y-axes. What is the area, inÃ‚ square units, of the square?"
cfe67646,ALGEBRA,Linear Inequalities,,,The pointÃ‚ in the xy-plane is a solution to which of the following systems of inequalities?
d02193fb,ALGEBRA,Linear Inequalities,903D Medium,,The shaded region shown represents the solutions to which inequality?
d0430601,PSDA,Data 2 Variable,,,"Each dot in the scatterplot above represents the temperature and the number of people who visited a beach in Lagos, Nigeria, on one of eleven different days. The line of best fit for the data is also shown. The line of best fit for the data has a slope of approximately 57. According to this estimate, how many additional people per day are predicted to visit the beach for each 5Ã‚Â°C increase in average temperature?"
d0a53ef5,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",,BB9 MEDIUM,What is the smallest solution to the given equation?
d0a7871e,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",,,"If is a solution to the system of equations above, which of the following could be the value of x ?"
d0b6d927,GEOM_TRIG,Area & Volume,901D Lower,,"A rectangle has an area of square meters and a length of meters. What is the width, in meters, of the rectangle?"
d0cb49e8,ALGEBRA,Linear Functions,,,"Argon is placed inside a container with a constant volume. The graph shows the estimated pressure , in , of the argon when its temperature is kelvins. What is the estimated pressure of the argon, in , when the temperature is kelvins?"
d0d9ede4,PSDA,Rates & Proportions,903D Lower,,How many feet are equivalent to yards?
d0e614a6,ALGEBRA,Linear Equations 2 Variables,,,Which table gives three values of and their corresponding values of for the given equation?
d0efc1dd,PSDA,Data 1 Variable,,,"15, 14, 18, 17, x The mean and the median of the five numbers above are equal. Which of the following is NOT a possible value of xÃ‚ ?"
d1042cf8,ALGEBRA,Linear Equations 2 Variables,,,A food truck buys forks for each and plates for each. The total cost of forks and plates is . Which equation represents this situation?
d112bc9d,PSDA,Data 2 Variable,,,"The scatterplot shows the temperature , in , recorded by a meteorologist at various times , in days since June .Ã‚ During which of the following time periods did the greatest increase in recorded temperature take place?"
d11910d6,ALGEBRA,Linear Functions,,,The graph of the linear function is shown. What is the y-intercept of the graph of ?
d135f4bf,ADV_MATH,Nonlinear Functions,,BB9 MEDIUM,"The function is defined by . In the xy-plane, the graph of is the result of translating the graph ofÃ‚ up units. What is the value of ?"
d1b66ae6,ALGEBRA,Systems of Linear Equations,,,"If satisfies the system of equations above, what is the value of y ?"
d1db8def,PSDA,Data 1 Variable,,,Response Frequency Once a week or more Two or three times a month About once a month A few times a year Almost never Never Total The table gives the results of a survey of people who were asked how often they see a movie in a theater. How many people responded either Ã¢â‚¬Å“neverÃ¢â‚¬Â or Ã¢â‚¬Å“almost neverÃ¢â‚¬Â?
d2047497,GEOM_TRIG,Area & Volume,,,What is the area of a rectangle with a length of and a width of ?
d230e963,PSDA,Data 2 Variable,,,"The scatterplot shows the relationship between two variables, and . A line of best fit is also shown. Which of the following equations best represents the line of best fit shown?"
d28c29e1,PSDA,Rates & Proportions,,,The International Space Station orbits Earth at an average speed of 4.76 miles per second. What is the space stationÃ¢â‚¬â„¢s average speed in miles per hour?
d3b9c8d8,PSDA,Data 1 Variable,,,"The box plots summarize the masses, in kilograms, of two groups of gazelles. Based on the box plots, which of the following statements must be true?"
d3fe472f,GEOM_TRIG,"Lines, Angles, Triangles",,,"Triangle is similar to triangle , such that , , and correspond to , , and respectively. The length of each side of triangle is times the length of its corresponding side in triangle . The measure of side is . What is the measure of side ?"
d41cf4d3,ADV_MATH,Nonlinear Functions,,BB5 MEDIUM,"The function is defined byÃ‚ , where and are constants. In the xy-plane, the graph of passes through the point , andÃ‚ . Which of the following must be true?"
d4413871,PSDA,Probability,,,"Blood typeÃ‚ Ã‚ Rhesus factor A B AB O 33 9 3 37 7 2 1 x Human blood can be classified into four common blood typesÃ¢â‚¬â€A, B, AB, and O. It is also characterized by the presence or absence of the rhesus factor. The table above shows the distribution of blood type and rhesus factor for a group of people. If one of these people who is rhesus negative is chosen at random, the probability that the person has blood type B is . What is the value of x ?"
d46da42c,ADV_MATH,Nonlinear Functions,1000D Lower,,The function f is defined as shown. Which of the following graphs in the xy- plane could be the graph of ?
d4950429,ADV_MATH,Nonlinear Functions,,,"A rectangle has a length of units and a width of units. If the rectangle has an area of square units, what is the value of ?"
d4d513ff,ADV_MATH,Equivalent Expressions,901D Medium,,Which expression is equivalent to ?
d5f349b7,GEOM_TRIG,"Lines, Angles, Triangles",,,"Right triangles and are similar, where corresponds to . If the measure of angle is , what is the measure of angle ?"
d6121490,PSDA,Data 2 Variable,,,"The graph above shows the relationship between the speed of a particular car, in miles per hour, and its corresponding braking distance, in feet. Approximately how many feet greater will the carÃ¢â‚¬â„¢s braking distance be when the car is traveling at 50 miles per hour than when the car is traveling at 30 miles per hour?"
d621cffb,GEOM_TRIG,Area & Volume,,,"A sphere has a radius of feet. What is the volume, in cubic feet, of the sphere?"
d62ad380,ALGEBRA,Linear Equations 2 Variables,,,"An artist paints and sells square tiles. The selling price P, in dollars, of a painted tile is a linear function of the side length of the tile s, in inches, as shown in the table below. Side length, s (inches) Price, P (dollars) 3 8.00 6 18.00 9 28.00 Ã‚ Which of the following could define the relationship between s and P ?"
d6456c7a,PSDA,Rates & Proportions,,,"A certain park has an area of square yards. What is the area, in square miles, of this park?"
d65b9a87,PSDA,Data 1 Variable,,BB10 UPPER,The dot plots represent the distributions of values in data sets A and B. Which of the following statements must be true? The median of data set A is equal to the median of data set B. The standard deviation of data set A is equal to the standard deviation of data set B.
d675744f,ADV_MATH,Nonlinear Functions,,,Which of the following is the graph in the xy- plane of the given equation?
d683a9cc,GEOM_TRIG,Area & Volume,,,"The figure shows the lengths, in centimeters (cm), of the edges of a right rectangular prism. The volume V of a right rectangular prism is , where is the length of the prism, w is the width of the prism, and h is the height of the prism. What is the volume, in cubic centimeters, of the prism?"
d693f563,PSDA,Percentages,,,"Last year, Cedric had plants in his garden. This year, the number of plants in CedricÃ¢â‚¬â„¢s garden is greater than the number of plants in his garden last year. How many plants does Cedric have in his garden this year?"
d6af3572,PSDA,Data 2 Variable,,,"The scatterplot above shows the federal-mandated minimum wage every 10 years between 1940 and 2010. A line of best fit is shown, and its equation is . What does the line of best fit predict about the increase in the minimum wage over the 70-year period?"
d71f6dbf,ADV_MATH,Nonlinear Functions,,,"The height, in feet, of an object x seconds after it is thrown straight up in the air can be modeled by the function . Based on the model, which of the following statements best interprets the equation ?"
d72a2b4d,PSDA,Percentages,,,"In March, the price of a collectible card was . In April, the price of the collectible card was . The price of the collectible card in April was of the price of the collectible card in March. What is the value of ?"
d7a3179d,PSDA,Rates & Proportions,,,How many yards are equivalent to inches?
d7bf55e1,ALGEBRA,Systems of Linear Equations,,,"A movie theater sells two types of tickets, adult tickets for $12 and child tickets for $8. If the theater sold 30Ã‚ tickets for a totalÃ‚ of $300, how much, in dollars, was spent on adult tickets? (Disregard the $ sign when gridding your answer.)"
d7c8ba0b,ALGEBRA,Linear Equations 2 Variables,,BB5 MEDIUM,"In the xy-plane, line passes through the points and . Which equation defines line ?"
d8539e09,ALGEBRA,Linear Inequalities,,BB8 UPPER,For which of the following tables are all the values of and their corresponding values of solutions to the given inequality?
d8539e09,ALGEBRA,Linear Inequalities,,BB8 UPPER,For which of the following tables are all the values of and their corresponding values of solutions to the given inequality?
d8789a4c,ADV_MATH,Equivalent Expressions,,,"In the expression above, b and c are positive integers. If the expression is equivalent to and , which of the following could be the value of c ?"
d89c1513,PSDA,Probability,,,"Customer Purchases at a Gas Station Ã‚ Beverage purchased Beverage not purchased Total Gasoline purchased 60 25 85 Gasoline not purchased 35 15 50 Total 90 40 135 On Tuesday, a local gas station had 135 customers. The table above summarizes whether or not the customers on Tuesday purchased gasoline, a beverage, both, or neither. Based on the data in the table, what is the probability that a gas station customer selected at random on that day did not purchase gasoline?"
d8ace155,ADV_MATH,Nonlinear Functions,,BB8 LOWER,"A company opens an account with an initial balance of . The account earns interest, and no additional deposits or withdrawals are made. The account balance is given by an exponential function , where is the account balance, in dollars, years after the account is opened. The account balance after years is . Which equation could define ?"
d909cd31,ALGEBRA,Systems of Linear Equations,,,One of the two equations in a system of linear equations is given. The system has infinitely many solutions. Which of the following could be the second equation in the system?
d9137a84,ADV_MATH,Equivalent Expressions,901D Medium,,Which expression represents the product ofÃ‚ andÃ‚ ?
d94018fd,PSDA,Data 1 Variable,,BB8 MEDIUM,"Each of the dot plots shown represents the number of glue sticks brought in by each student for two classes, class A and class B. Which statement best compares the standard deviations of the numbers of glue sticks brought in by each student for these two classes?"
d9733ed9,ALGEBRA,Linear Inequalities,,BB6 UPPER,For which of the following tables are all the values of and their corresponding values of solutions to the given inequality?
d9d83c02,ALGEBRA,Linear Equations 1 Variable,,,For what value of wÃ‚ does Ã‚ ?
da602115,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",,,"If , what is the positive value of ?"
da9ffcf6,PSDA,Rates & Proportions,,,"The ratio of the length of line segment to the length of line segment is to . If the length of line segment is inches, what is the length, in inches, of line segment ?"
daad7c32,ALGEBRA,Linear Functions,,,"An object hangs from a spring. The formula relates the length , in centimeters, of the spring to the weight w, in newtons, of the object. Which of the following describes the meaning of the 2 in this context?"
dae126d7,ALGEBRA,Linear Functions,,,"The boiling point of water at sea level is 212 degrees Fahrenheit . For every 550 feet above sea level, the boiling point of water is lowered by about . Which of the following equations can be used to find the boiling point B of water, in , x feet above sea level?"
db0107df,ALGEBRA,Linear Equations 2 Variables,,,The y-intercept of the graph of in the xy-plane is . What is the value of ?
db422e7f,ALGEBRA,Linear Equations 2 Variables,,,Line is defined by . Line is perpendicular to line in the xy-plane. What is the slope of line ?
db888cd6,ADV_MATH,Nonlinear Functions,,,"The graph gives the estimated number of catalogs , in thousands, a company sent to its customers at the end of each year, where represents the number of years since the end of , where . Which statement is the best interpretation of the y-intercept in this context?"
dba6a25a,GEOM_TRIG,Right Angle Trigonometry,1000D Upper,,"In the figure above, is parallel to . What is the length of ?"
dba7432e,ADV_MATH,Nonlinear Functions,901D Medium,,x f(x) 0 5 1 2 3 The table above gives the values of the function f for some values of x. Which of the following equations could define f ?
dba8d38a,ALGEBRA,Systems of Linear Equations,,,"A petting zoo sells two types of tickets. The standard ticket, for admission only, costs $5. The premium ticket, which includes admission and food to give to the animals, costs $12. One Saturday, the petting zoo sold a total of 250 tickets and collected a total of $2,300 from ticket sales. Which of the following systems of equations can be used to find the number of standard tickets, s, and premium tickets, p, sold on that Saturday?"
dc71597b,GEOM_TRIG,Area & Volume,902D Medium,,"A right circular cone has a volume of Ã‚ cubic feet and a height of 9Ã‚ feet. What is the radius, in feet, of the base of the cone?"
dc77e0dc,ADV_MATH,Nonlinear Functions,,BB5 MEDIUM,"The function models the intensity of an X-ray beam, in number of particles in the X-ray beam, millimeters below the surface of a sample of iron. According to the model, what is the estimated number of particles in the X-ray beam when it is at the surface of the sample of iron?"
dcf63c94,ADV_MATH,Nonlinear Functions,,,"The function is defined by the given equation. IfÃ‚ , which of the following equations defines function ?"
dd3a910a,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",,BB6 LOWER,The graph of a system of an absolute value function and a linear function is shown. What is the solution to this system of two equations?
dd4ab4c4,ADV_MATH,Equivalent Expressions,,,Which of the following is a factor of the polynomial above?
dd797fe2,ALGEBRA,Linear Equations 2 Variables,,,"Mario purchased 4 binders that cost x dollars each and 3 notebooks that cost y dollars each. If the given equation represents this situation, which of the following is the best interpretation of 24 in this context?"
dd875c97,ALGEBRA,Linear Inequalities,,BB5 UPPER,"A truck can haul a maximum weight of pounds. During one trip, the truck will be used to haul a -pound piece of equipment as well as several crates. Some of these crates weigh pounds each and the others weigh pounds each. Which inequality represents the possible combinations of the number of -pound crates, , and the number of -pound crates, , the truck can haul during one trip if only the piece of equipment and the crates are being hauled?"
dd8ac009,ADV_MATH,Nonlinear Functions,902D Medium,,"Time (years) Total amount (dollars) Sara opened a savings account at a bank. The table shows the exponential relationship between the time , in years, since Sara opened the account and the total amount , in dollars, in the account. If Sara made no additional deposits or withdrawals, which of the following equations best represents the relationship between and ?"
de362c2f,ADV_MATH,Nonlinear Functions,,,The function is defined by . What is the value ofÃ‚ ?
de39858a,ADV_MATH,Nonlinear Functions,1000D Upper,,"The function is defined by , where and are positive constants. The graph of in the -plane passes through the points ( , ) and ( , ). What is the value of ?"
de550be0,GEOM_TRIG,Right Angle Trigonometry,902D Upper,,"For the triangle shown, which expression represents the value of ?"
de6fe450,ALGEBRA,Linear Functions,902D Upper,,"On January 1, 2015, a cityÃ¢â‚¬â„¢s minimum hourly wage was $9.25. It will increase by $0.50 on the first day of the year for the next 5 years. Which of the following functions best models the minimum hourly wage, in dollars, x years after January 1, 2015, where ?"
df0ef054,ADV_MATH,Equivalent Expressions,1000D Lower,,Which of the following is equivalent to the expression above?
df32b09c,ALGEBRA,Linear Inequalities,,,"Tom scored 85, 78, and 98 on his first three exams in history class. Solving which inequality gives the score, G, on TomÃ¢â‚¬â„¢s fourth exam that will result in a mean score on all four exams of at least 90 ?"
df747160,ADV_MATH,Equivalent Expressions,,,Which expression is equivalent to ?
dfa45424,ALGEBRA,Linear Equations 2 Variables,,,"Tony spends $80 per month on public transportation. A 10-ride pass costs $12.50, and a single-ride pass costs $1.50. If g represents the number of 10-ride passes Tony buys in a month and t represents the number of single-ride passes Tony buys in a month, which of the following equations best represents the relationship between g and t ?"
dfc420b2,GEOM_TRIG,"Lines, Angles, Triangles",901D Lower,,"In the figure above, intersects at C. If , what is the value of y ?"
e006209c,ALGEBRA,Linear Inequalities,,,"A geologist needs to collect at least samples of lava from a volcano. If the geologist has already collected samples from the volcano, what is the minimum number of additional samples the geologist needs to collect?"
e0177f5f,ALGEBRA,Systems of Linear Equations,,,The solution to the given system of equations is . What is the value of ?
e03f3477,PSDA,Sample Size & ME,,,"A sample consisting of adults who own televisions was selected at random for a study. Based on the sample, it is estimated that of all adults who own televisions use their televisions to watch nature shows, with an associated margin of error of . Which of the following is the most plausible conclusion about all adults who own televisions?"
e0874bc2,GEOM_TRIG,Area & Volume,,,"The table gives the perimeters of similar triangles and , where corresponds to . The length ofÃ‚ is . Ã‚ Ã‚ Perimeter Triangle Triangle Ã‚ What is the length ofÃ‚ ?"
e0f59119,ALGEBRA,Linear Equations 2 Variables,,BB6 LOWER,What is the slope of the graph of Ã‚ in theÃ‚ xy-plane?
e10d8313,GEOM_TRIG,"Lines, Angles, Triangles",,,"In the figure shown, points , , , and lie on line segment , and line segment intersects line segment at point . The measure of is , the measure of is , the measure of is , and the measure of is . What is the measure, in degrees, of ?"
e11294f9,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",,,"The solutions to are and , where . The solutions to are and , where . The solutions to , where is a constant, are and . What is the value of ?"
e117d3b8,ADV_MATH,Equivalent Expressions,902D Upper,,"If a and c are positive numbers, which of the following is equivalent to ?"
e1248a5c,ALGEBRA,Systems of Linear Equations,,,"In the system of equations below, a and c are constants. If the system of equations has an infinite number of solutions , what is the value of a ?"
e1259a5a,ALGEBRA,Systems of Linear Equations,,,A system of two linear equations is graphed in the xy-plane below. Which of the following points is the solution to the system of equations?
e1391dd6,ADV_MATH,Nonlinear Functions,1000D Medium,,"According to MooreÃ¢â‚¬â„¢s law, the number of transistors included on microprocessors doubles every 2 years. In 1985, a microprocessor was introduced that had 275,000 transistors. Based on this information, in which of the following years does MooreÃ¢â‚¬â„¢s law estimate the number of transistors to reach 1.1Ã‚ million?"
e166aca6,ADV_MATH,Nonlinear Functions,,,What is the x-intercept of the graph shown?
e17babed,PSDA,Data 2 Variable,,,"The scatterplot shows the relationship between two variables, and . A line of best fit for the data is also shown. For how many of the data points is the actual y-value greater than the y-value predicted by the line of best fit?"
